,RegionName,Zhvi
0,10025,1004200
1,60657,318300
2,10023,1032800
3,60614,385200
4,79936,113600
5,60640,200400
6,77084,157600
7,94109,1069900
8,75070,298900
9,11226,564700
10,77449,160600
11,32162,245000
12,60647,308300
13,37211,204500
14,90250,528700
15,37013,170200
16,60618,337300
17,10128,1050900
18,10011,1389500
19,28269,168700
20,30349,106300
21,79912,168600
22,90046,1226300
23,94565,356600
24,10003,1186200
25,60613,201700
26,75052,178400
27,20009,529400
28,20002,566500
29,21234,200200
30,63376,180700
31,77036,105900
32,30044,158700
33,10463,419400
34,60629,152900
35,60625,272700
36,11230,707500
37,11209,576900
38,11201,960300
39,11212,349100
40,37042,125600
41,75287,306100
42,77429,223000
43,85032,226200
44,78130,188500
45,11214,587700
46,78521,65500
47,30043,198800
48,30096,190600
49,23464,247200
50,94501,868400
51,7030,713200
52,60619,131700
53,94110,1190800
54,28277,315400
55,75243,170600
56,90034,1005300
57,33160,355700
58,33139,386900
59,11377,418200
60,90044,357300
61,33411,258800
62,11234,506200
63,90650,422100
64,90805,395200
65,11207,354000
66,75067,207900
67,60617,115600
68,44035,89600
69,23462,193100
70,19143,66100
71,48197,184000
72,78704,498600
73,92683,590800
74,8701,304000
75,85710,151200
76,66062,220800
77,78745,254500
78,95630,480600
79,91910,473500
80,90026,783400
81,87111,230200
82,94558,575800
83,11215,1053500
84,98052,660600
85,30024,309600
86,32210,108600
87,6010,173400
88,11221,942100
89,33025,195300
90,60610,254100
91,30281,138000
92,89108,155400
93,78240,160000
94,85225,223700
95,77433,218500
96,2169,362500
97,33009,195300
98,15601,139900
99,93722,212400
100,48180,83100
